material_id,formula,formation_energy_per_atom,band_gap,source
JVASP-38754,Ac2S3,-2.27818,3.124,JARVIS
JVASP-99531,AcGaO3,-2.89519,3.071,JARVIS
JVASP-41744,AcGaTe2,-1.01512,0.599,JARVIS
JVASP-42876,AcH3,-0.62979,0.925,JARVIS
JVASP-33797,AcI3,-1.48866,2.041,JARVIS
JVASP-79313,AcInTe2,-1.05514,0.788,JARVIS
JVASP-39959,AcN,-1.2558,0.183,JARVIS
JVASP-156375,AcSbPd,-1.04006,0.326,JARVIS
JVASP-41264,AcTlTe2,-1.10636,0.922,JARVIS
JVASP-109799,Ag2Bi2SeS3,-0.26729,0.185,JARVIS
JVASP-57103,Ag2BiO3,-0.68526,0.398,JARVIS
JVASP-9675,Ag2CO3,-0.81529,0.613,JARVIS
JVASP-153198,Ag2GePbS4,-0.35893,1.355,JARVIS
JVASP-10587,Ag2GeS3,-0.24294,0.365,JARVIS
JVASP-30064,Ag2H2IOF,-0.82535,1.048,JARVIS
JVASP-34483,Ag2H3IO6,-0.48673,0.709,JARVIS
JVASP-54971,Ag2Hg7P8Br6,-0.13923,0.717,JARVIS
JVASP-53292,Ag2Hg7P8I6,-0.05609,0.654,JARVIS
JVASP-106853,Ag2HgI4,-0.2074,0.9,JARVIS
JVASP-59046,Ag2HgO2,-0.21212,0.456,JARVIS
JVASP-10532,Ag2HgS2,-0.04689,0.473,JARVIS
JVASP-25823,Ag2HgSI2,-0.1507,1.169,JARVIS
JVASP-147402,Ag2Mo2O7,-1.62541,1.653,JARVIS
JVASP-12218,Ag2MoO4,-1.30874,2.014,JARVIS
JVASP-98067,Ag2NClO3,-0.33924,1.596,JARVIS
JVASP-14673,Ag2O,-0.16785,0.146,JARVIS
JVASP-151546,Ag2O3,-0.12208,0.448,JARVIS
JVASP-144302,Ag2P2PdO7,-1.45968,1.145,JARVIS
JVASP-87313,Ag2PHO4,-1.28683,1.436,JARVIS
JVASP-4993,Ag2PbO2,-0.64619,1.475,JARVIS
JVASP-12929,Ag2PdCl4,-0.46505,0.942,JARVIS
JVASP-8088,Ag2PdO2,-0.31294,0.175,JARVIS
JVASP-149160,Ag2S,-0.07563,1.01,JARVIS
JVASP-145236,Ag2S2O7,-1.01142,2.397,JARVIS
JVASP-9727,Ag2SO4,-0.91061,1.29,JARVIS
JVASP-22648,Ag2Se,-0.0431,0.504,JARVIS
JVASP-87878,Ag2SeO3,-0.5504,1.735,JARVIS
JVASP-10796,Ag2SeO4,-0.48007,0.345,JARVIS
JVASP-132992,Ag2Te3Mo3O16,-1.50184,1.629,JARVIS
JVASP-120451,Ag2TeH4O6,-0.81671,0.655,JARVIS
JVASP-152195,Ag2TeS3,-0.06491,0.873,JARVIS
JVASP-88010,Ag2W2O7,-1.80083,1.368,JARVIS
JVASP-9599,Ag3AsS3,-0.13349,1.056,JARVIS
JVASP-63485,Ag3AsS4,-0.09303,0.287,JARVIS
JVASP-9702,Ag3AsSe3,-0.07439,0.63,JARVIS
JVASP-8816,Ag3AuS2,-0.05738,1.208,JARVIS
JVASP-57187,Ag3BO3,-1.02168,1.119,JARVIS
