material_id,formula,formation_energy_per_atom,band_gap,exfol_en,dimensionality,source
JVASP-87022,PuF3,-3.91371,0.07,,2D-bulk,JARVIS_layered
JVASP-110393,CeOF,-3.82851,0.0,,2D-bulk,JARVIS_layered
JVASP-152573,HfO2,-3.5475,4.48,,2D-bulk,JARVIS_layered
JVASP-22529,CaClF,-3.38756,5.652,75.82,intercalated ion,JARVIS_layered
JVASP-8344,YSnF5,-3.37628,3.156,,2D-bulk,JARVIS_layered
JVASP-8381,YMnF5,-3.34691,2.065,,2D-bulk,JARVIS_layered
JVASP-30692,Ti3AlF15,-3.33977,2.977,,2D-bulk,JARVIS_layered
JVASP-30348,TmClO,-3.33888,4.848,33.71,2D-bulk,JARVIS_layered
JVASP-3924,UO2F2,-3.3378,2.289,47.73,2D-bulk,JARVIS_layered
JVASP-29380,YClO,-3.31967,4.286,35.06,2D-bulk,JARVIS_layered
JVASP-110735,DyClO,-3.31274,4.351,,2D-bulk,JARVIS_layered
JVASP-12167,ErClO,-3.24911,5.089,40.42,2D-bulk,JARVIS_layered
JVASP-91318,LaBrO,-3.20599,4.02,,2D-bulk,JARVIS_layered
JVASP-30164,TiOF,-3.20569,0.0,,2D-bulk,JARVIS_layered
JVASP-100072,TaOF3,-3.19443,2.831,,2D-bulk,JARVIS_layered
JVASP-9435,AlTlF4,-3.1763,4.671,,2D-bulk,JARVIS_layered
JVASP-8364,YFeF5,-3.16997,0.56,,2D-bulk,JARVIS_layered
JVASP-138693,MgF2,-3.16628,4.186,,2D-bulk,JARVIS_layered
JVASP-92439,NpO2F2,-3.1546,0.0,,2D-bulk,JARVIS_layered
JVASP-105098,HoBrO,-3.14185,4.278,,2D-bulk,JARVIS_layered
JVASP-30194,TmBrO,-3.14043,4.378,,2D-bulk,JARVIS_layered
JVASP-30312,YBrO,-3.1374,4.473,50.01,2D-bulk,JARVIS_layered
JVASP-30475,LuBrO,-3.13282,4.338,46.78,2D-bulk,JARVIS_layered
JVASP-101430,ErBrO,-3.13256,4.377,,2D-bulk,JARVIS_layered
JVASP-96250,EuBrO,-3.10785,4.414,,2D-bulk,JARVIS_layered
JVASP-105583,TiO2,-3.08953,2.327,,2D-bulk,JARVIS_layered
JVASP-4059,SmBrO,-3.08097,4.411,56.61,2D-bulk,JARVIS_layered
JVASP-30206,Ta3O5F5,-3.07949,2.239,,2D-bulk,JARVIS_layered
JVASP-121838,TbNaSi2O6,-3.07299,4.206,,2D-bulk,JARVIS_layered
JVASP-9921,TaF5,-3.0693,4.285,,2D-bulk,JARVIS_layered
JVASP-3615,NdBrO,-3.05852,4.507,64.71,2D-bulk,JARVIS_layered
JVASP-119068,UAgF6,-3.05407,0.92,,2D-bulk,JARVIS_layered
JVASP-3543,BaIF,-3.05209,4.038,83.86,intercalated ion,JARVIS_layered
JVASP-30478,PrBrO,-3.04634,4.417,,2D-bulk,JARVIS_layered
JVASP-116071,YOF2,-3.03433,0.0,,2D-bulk,JARVIS_layered
JVASP-3594,SrIF,-3.02678,4.534,55.35,intercalated ion,JARVIS_layered
JVASP-8385,YCoF5,-3.02337,0.22,,2D-bulk,JARVIS_layered
JVASP-98033,LaIO,-3.01427,3.245,,2D-bulk,JARVIS_layered
JVASP-30182,CeBrO,-3.00383,0.0,65.02,2D-bulk,JARVIS_layered
JVASP-12160,Al2Si4O11,-2.9783,4.289,25.86,2D-bulk,JARVIS_layered
JVASP-30177,NbOF3,-2.97295,3.561,,2D-bulk,JARVIS_layered
JVASP-19704,NbF4,-2.96908,0.0,101.93,2D-bulk,JARVIS_layered
JVASP-127607,TiF3,-2.95701,0.0,,2D-bulk,JARVIS_layered
JVASP-12112,ScBrO,-2.94978,3.222,39.95,2D-bulk,JARVIS_layered
JVASP-116065,YOF,-2.93025,0.0,,2D-bulk,JARVIS_layered
JVASP-29965,NdPb4F11,-2.92918,4.622,,2D-bulk,JARVIS_layered
JVASP-30175,YIO,-2.92224,3.499,47.53,2D-bulk,JARVIS_layered
JVASP-3807,TmIO,-2.91766,3.43,47.14,2D-bulk,JARVIS_layered
JVASP-29437,Sm2Ti3Bi2O12,-2.91704,2.056,,2D-bulk,JARVIS_layered
JVASP-29390,MgSiO3,-2.91024,4.111,,2D-bulk,JARVIS_layered
JVASP-30166,HoIO,-2.90911,3.52,47.64,2D-bulk,JARVIS_layered
JVASP-110324,VF4,-2.90767,0.374,,2D-bulk,JARVIS_layered
JVASP-30472,LuIO,-2.90683,3.339,47.0,2D-bulk,JARVIS_layered
JVASP-12906,Ta2AgF12,-2.8998,0.773,,2D-bulk,JARVIS_layered
JVASP-85353,EuIO,-2.89458,3.645,,2D-bulk,JARVIS_layered
JVASP-145772,V4O3F9,-2.88397,0.0,,2D-bulk,JARVIS_layered
JVASP-30185,SmIO,-2.86857,3.661,,2D-bulk,JARVIS_layered
JVASP-8403,BaYTiCuO5,-2.85956,0.0,,2D-bulk,JARVIS_layered
JVASP-118825,ZrNbO4,-2.84576,0.0,,2D-bulk,JARVIS_layered
JVASP-146940,V3OF11,-2.84412,0.412,,2D-bulk,JARVIS_layered
JVASP-12165,NdIO,-2.84381,3.679,50.76,2D-bulk,JARVIS_layered
JVASP-150145,UB2O6,-2.84191,2.287,,2D-bulk,JARVIS_layered
JVASP-8658,UBrO2,-2.83573,0.075,34.51,2D-bulk,JARVIS_layered
JVASP-118322,TaOF2,-2.83307,0.0,,2D-bulk,JARVIS_layered
JVASP-30523,Ti4ZnO9,-2.83071,2.441,,2D-bulk,JARVIS_layered
JVASP-4056,PrIO,-2.82846,3.686,51.83,2D-bulk,JARVIS_layered
JVASP-13071,TaAgF6,-2.82078,3.308,,2D-bulk,JARVIS_layered
JVASP-29979,NdPb6F15,-2.81348,4.58,,2D-bulk,JARVIS_layered
JVASP-153871,TbLiO2,-2.79859,1.803,,2D-bulk,JARVIS_layered
JVASP-18481,PuBrO,-2.78406,0.0,59.93,intercalated ion,JARVIS_layered
JVASP-120595,V2OF7,-2.78056,0.133,,2D-bulk,JARVIS_layered
JVASP-29788,ScHO2,-2.76115,4.398,88.1,2D-bulk,JARVIS_layered
JVASP-30378,HfSnO3,-2.75823,2.452,,2D-bulk,JARVIS_layered
JVASP-116878,V6O5F19,-2.75451,0.309,,2D-bulk,JARVIS_layered
JVASP-139148,AlOF2,-2.74914,0.0,,2D-bulk,JARVIS_layered
JVASP-29742,SmClF,-2.74616,0.0,,2D-bulk,JARVIS_layered
JVASP-47083,LiVF3,-2.73936,0.527,98.1,intercalated ion,JARVIS_layered
JVASP-136600,NbOF2,-2.73889,0.0,,2D-bulk,JARVIS_layered
JVASP-107793,VOF3,-2.73237,2.908,,2D-bulk,JARVIS_layered
JVASP-12045,Mg3Si4H2O12,-2.73112,5.44,,2D-bulk,JARVIS_layered
JVASP-8135,Li2UO4,-2.73002,2.234,,2D-bulk,JARVIS_layered
JVASP-29292,TbHO2,-2.72031,4.84,43.5,2D-bulk,JARVIS_layered
JVASP-29961,NdPb8F19,-2.72002,3.709,,2D-bulk,JARVIS_layered
JVASP-107596,VOF2,-2.71665,0.0,,2D-bulk,JARVIS_layered
JVASP-12122,ScIO,-2.7133,1.946,39.21,2D-bulk,JARVIS_layered
JVASP-135623,TiNbO4,-2.71082,0.0,,2D-bulk,JARVIS_layered
JVASP-113696,ScAlO2,-2.70834,0.0,,2D-bulk,JARVIS_layered
JVASP-29297,UPbO4,-2.69166,1.591,,2D-bulk,JARVIS_layered
JVASP-147688,Cr4OF11,-2.67871,0.506,,2D-bulk,JARVIS_layered
JVASP-8153,Mg2SiO4,-2.66738,4.021,,2D-bulk,JARVIS_layered
JVASP-138987,GaF3,-2.66519,4.797,,2D-bulk,JARVIS_layered
JVASP-30150,Ti3V2O9,-2.651,0.0,,2D-bulk,JARVIS_layered
JVASP-30772,VSi4O10,-2.65004,1.322,,2D-bulk,JARVIS_layered
JVASP-139407,MgF3,-2.64194,0.0,,2D-bulk,JARVIS_layered
JVASP-30518,NbAgF6,-2.64068,2.413,,2D-bulk,JARVIS_layered
JVASP-29847,Ti3H2O7,-2.63911,2.87,,2D-bulk,JARVIS_layered
JVASP-120165,ScOF,-2.63343,0.0,,2D-bulk,JARVIS_layered
JVASP-121914,VOF,-2.62946,0.0,,2D-bulk,JARVIS_layered
JVASP-30265,V3O4F4,-2.62837,0.0,,2D-bulk,JARVIS_layered
