material_id,formula,formation_energy_per_atom,band_gap,source
JVASP-97965,LaF3,-4.42304,6.245,JARVIS_rare_earth
JVASP-144473,RbGd3F10,-4.38669,4.324,JARVIS_rare_earth
JVASP-39858,YbF2,-4.38553,6.992,JARVIS_rare_earth
JVASP-14072,ErF3,-4.37655,8.094,JARVIS_rare_earth
JVASP-57237,HoF3,-4.37421,8.087,JARVIS_rare_earth
JVASP-21683,TbF3,-4.37158,8.098,JARVIS_rare_earth
JVASP-95767,EuF3,-4.36569,8.097,JARVIS_rare_earth
JVASP-21485,SmF3,-4.34266,8.037,JARVIS_rare_earth
JVASP-21503,BaTm2F8,-4.33907,7.518,JARVIS_rare_earth
JVASP-21826,BaEr2F8,-4.32634,7.471,JARVIS_rare_earth
JVASP-20292,NdF3,-4.32322,7.808,JARVIS_rare_earth
JVASP-20792,PrF3,-4.31478,7.779,JARVIS_rare_earth
JVASP-102731,LaCeF6,-4.30185,0.0,JARVIS_rare_earth
JVASP-22950,Lu3O2F5,-4.29198,5.898,JARVIS_rare_earth
JVASP-110390,SrThF6,-4.2219,5.592,JARVIS_rare_earth
JVASP-95440,RbTh3F13,-4.2131,7.073,JARVIS_rare_earth
JVASP-26761,RbEr3F10,-4.21111,7.483,JARVIS_rare_earth
JVASP-23114,KEr3F10,-4.20802,7.107,JARVIS_rare_earth
JVASP-120479,KDy3F10,-4.20599,6.861,JARVIS_rare_earth
JVASP-121845,Tb3RbF10,-4.20548,6.948,JARVIS_rare_earth
JVASP-22989,Tb3KF10,-4.188,6.931,JARVIS_rare_earth
JVASP-1169,ThO2,-4.1762,4.823,JARVIS_rare_earth
JVASP-148924,HoOF,-4.15895,5.342,JARVIS_rare_earth
JVASP-148957,DyOF,-4.14854,5.262,JARVIS_rare_earth
JVASP-143718,LaHfF7,-4.14633,6.518,JARVIS_rare_earth
JVASP-53152,Ca4ThF12,-4.13848,6.192,JARVIS_rare_earth
JVASP-149311,LaOF,-4.1309,4.212,JARVIS_rare_earth
JVASP-3291,TbOF,-4.12793,5.212,JARVIS_rare_earth
JVASP-145919,Eu3MoO7,-4.12539,0.0,JARVIS_rare_earth
JVASP-89227,NaTh2F9,-4.11941,6.96,JARVIS_rare_earth
JVASP-140668,Y2Th8O19,-4.10335,2.857,JARVIS_rare_earth
JVASP-146401,LaZrF7,-4.10087,6.288,JARVIS_rare_earth
JVASP-97342,SmZrF7,-4.0858,6.404,JARVIS_rare_earth
JVASP-119203,CeTh3O8,-4.07972,1.86,JARVIS_rare_earth
JVASP-41388,TmF3,-4.07127,5.813,JARVIS_rare_earth
JVASP-55563,CeF3,-4.06871,0.0,JARVIS_rare_earth
JVASP-140787,NdHf2F11,-4.06782,6.576,JARVIS_rare_earth
JVASP-144606,PrZrF7,-4.06146,6.233,JARVIS_rare_earth
JVASP-2967,SmOF,-4.05647,4.69,JARVIS_rare_earth
JVASP-99038,ThZr2F12,-4.0428,5.81,JARVIS_rare_earth
JVASP-111087,CeTh2O6,-4.03806,1.866,JARVIS_rare_earth
JVASP-105355,TmPaO4,-4.03754,2.872,JARVIS_rare_earth
